date;cutlery;tips;order_price;uid;order_id;cutlery_grouped_uid;tips_grouped_uid;order_grouped_uid
17.01.2022 6:38;3;100;1001;120967;73041443;3;54;572
23.01.2022 11:09;4;110;309;325757;60500835;3;79;684
24.01.2022 19:40;1;10;891;986730;43230531;1;10;891
14.01.2022 18:01;5;70;749;868648;46180789;4;63;766
19.01.2022 22:32;2;10;469;863523;59266169;3;56;584
05.01.2022 11:45;4;90;340;728911;51050143;4;57;698
01.01.2022 8:52;4;0;0;779134;15841612;3;54;404
01.01.2022 6:21;6;0;0;751242;83957554;4;70;523
24.01.2022 11:45;1;70;445;594275;61860247;1;47;557
23.01.2022 5:48;1;50;464;596696;80813955;3;52;319
24.01.2022 20:09;4;60;704;841410;15417322;3;53;637
22.01.2022 5:58;4;100;467;716764;48248959;4;81;557
23.01.2022 10:21;4;10;727;782856;62224937;4;68;635
28.01.2022 23:46;1;90;855;667257;17012903;3;57;633
13.01.2022 16:27;1;10;928;822014;34667331;2;50;623
03.01.2022 9:02;1;50;347;908699;78733530;2;63;623
03.01.2022 23:01;1;60;716;951035;99145380;3;68;749
03.01.2022 1:43;4;10;692;410035;36746722;4;10;692
26.01.2022 13:48;3;150;1097;255228;33800999;3;68;638
03.01.2022 12:28;1;60;432;246178;11181027;3;68;775
24.01.2022 17:41;4;80;410;379574;38399902;3;63;598
04.01.2022 7:25;1;50;661;279277;96861715;3;83;601
12.01.2022 7:04;4;90;450;804270;83109763;4;73;370
26.01.2022 13:22;4;140;1161;781632;56865155;3;65;607
07.01.2022 23:51;1;50;949;643312;53478851;3;70;623
24.01.2022 3:10;2;80;543;434519;58952039;3;84;578
01.01.2022 19:51;4;0;0;307676;43056019;4;80;491
10.01.2022 11:44;3;10;551;559762;91176860;3;48;405
20.01.2022 2:53;1;70;895;844704;92563194;4;50;562
31.01.2022 16:08;3;30;473;945896;15708228;4;84;580
07.01.2022 3:52;6;170;676;463468;71267012;5;80;705
02.01.2022 21:27;4;10;926;148527;73472532;4;67;651
06.01.2022 4:55;4;70;424;482303;39408293;4;65;536
03.01.2022 12:14;2;110;366;191136;61202042;4;79;514
14.01.2022 19:55;3;40;694;583135;22606954;3;50;426
14.01.2022 11:33;3;90;442;782855;42516956;4;54;366
08.01.2022 23:36;4;20;890;911427;18625955;4;20;890
29.01.2022 4:34;1;90;1004;206752;52190423;3;53;598
09.01.2022 12:43;1;50;519;270421;71940770;3;54;420
17.01.2022 2:55;1;20;934;863698;41553759;2;48;542
25.01.2022 4:56;4;90;653;141874;53584439;3;57;676
26.01.2022 10:20;4;120;347;953635;34690781;5;83;539
24.01.2022 4:32;2;40;479;207294;95809867;2;40;575
21.01.2022 13:21;2;30;539;374563;96616191;3;47;742
30.01.2022 8:04;2;10;699;377757;45779416;3;80;659
07.01.2022 15:50;5;120;838;821544;40366642;4;68;727
14.01.2022 11:48;3;80;1009;638996;88412506;3;68;747
23.01.2022 12:46;1;40;911;387240;12080991;3;46;400
04.01.2022 10:09;1;90;368;421669;44472159;2;53;598
01.01.2022 21:58;5;0;0;741562;51847053;3;56;513
04.01.2022 11:39;5;110;457;469100;39888615;3;79;626
24.01.2022 6:59;4;70;754;824380;71483488;3;63;675
31.01.2022 17:21;3;110;861;686259;39708422;3;62;640
16.01.2022 18:15;3;120;591;304798;77968684;4;86;713
01.01.2022 16:07;5;0;0;806167;49572522;3;50;462
06.01.2022 3:38;4;40;418;403807;50605807;4;58;543
10.01.2022 19:01;5;170;674;599249;97324445;3;77;542
14.01.2022 7:10;5;90;406;246522;86555430;4;84;770
05.01.2022 9:19;5;80;705;800509;11920949;3;52;425
15.01.2022 4:48;3;80;565;416477;74989863;3;53;588
09.01.2022 11:38;2;80;739;311021;17508280;4;77;643
01.01.2022 14:22;5;0;0;591476;75539071;4;72;494
24.01.2022 0:01;2;80;717;748283;11820954;2;50;600
08.01.2022 7:30;4;120;753;394149;56513258;3;54;637
28.01.2022 1:29;2;110;990;543283;65130721;3;81;771
28.01.2022 2:17;4;40;523;921578;28139241;4;52;509
03.01.2022 15:53;4;20;535;894510;18926196;4;50;564
01.01.2022 6:42;6;0;0;520889;93339208;4;48;520
10.01.2022 20:41;3;120;1024;412498;54354857;3;80;758
08.01.2022 17:35;2;10;829;498088;89196315;3;53;896
15.01.2022 8:30;1;50;930;374772;14911039;4;50;578
12.01.2022 8:42;4;50;871;322511;17716338;4;83;715
17.01.2022 19:26;5;150;851;837397;15450713;4;65;556
08.01.2022 21:25;4;70;1003;464894;92230072;2;43;548
11.01.2022 19:02;6;150;763;395828;71959728;3;68;543
14.01.2022 21:01;4;130;554;434091;13455689;4;80;703
24.01.2022 18:01;3;80;364;665807;36566473;3;72;585
11.01.2022 4:59;1;60;770;952812;89399534;3;68;770
19.01.2022 2:08;2;20;407;742018;57462101;4;67;430
28.01.2022 20:40;3;30;774;325847;86415903;3;30;774
13.01.2022 17:01;1;20;551;868972;85500966;4;46;533
10.01.2022 9:55;1;60;375;295665;91168824;2;70;596
01.01.2022 7:56;4;20;620;983448;75785590;4;53;498
01.01.2022 7:39;4;0;0;994796;43661893;4;77;671
06.01.2022 11:09;3;130;845;656611;74003402;3;84;657
05.01.2022 23:41;2;30;451;787209;25131766;3;50;485
25.01.2022 21:21;1;30;760;624344;35525963;4;73;690
05.01.2022 9:38;2;50;597;593633;33254213;4;67;596
26.01.2022 15:15;1;20;847;370213;66802610;2;47;589
11.01.2022 3:53;1;60;378;368408;27019746;4;65;463
31.01.2022 14:22;4;150;1175;723081;41596112;4;70;657
08.01.2022 5:28;6;150;1188;678161;69722990;4;80;828
23.01.2022 2:16;4;80;471;404136;23341811;3;77;662
01.01.2022 1:00;5;0;0;246892;87751572;3;67;534
03.01.2022 2:34;4;110;675;318278;11735590;4;52;471
09.01.2022 2:22;2;10;570;920967;76385228;3;44;441
15.01.2022 5:52;4;90;762;806307;60194575;4;86;639
27.01.2022 11:52;4;150;789;889668;59259791;4;65;460
02.01.2022 2:15;2;80;594;229896;48740238;3;50;501
22.01.2022 23:52;1;10;455;494631;78097634;2;25;470
13.01.2022 10:52;5;130;1198;323782;55289209;4;86;748
04.01.2022 8:33;2;10;848;749093;39224531;3;43;874
29.01.2022 8:58;2;10;454;959081;72283255;3;30;690
30.01.2022 6:10;5;90;391;743808;17454564;4;50;549
07.01.2022 2:22;4;90;874;293920;16608031;4;83;488
01.01.2022 6:21;6;0;0;754213;53095210;3;80;638
06.01.2022 10:37;2;110;953;980250;11431791;3;54;532
16.01.2022 11:17;3;20;322;868047;45153151;4;72;505
29.01.2022 14:17;4;120;625;224220;32871413;3;58;524
26.01.2022 14:52;5;120;265;244058;60420816;4;67;552
19.01.2022 8:20;2;90;376;624606;37809181;3;52;438
23.01.2022 13:21;5;70;696;845298;57102273;4;52;546
31.01.2022 20:14;3;150;547;882834;30415362;3;70;468
21.01.2022 20:45;2;40;832;280405;38150174;3;48;547
22.01.2022 1:30;4;10;697;716208;27708312;3;30;575
14.01.2022 7:03;4;80;887;671700;24784479;4;68;604
19.01.2022 9:34;3;40;719;948429;54450121;3;50;695
01.01.2022 5:18;4;0;0;607207;76502063;3;84;594
06.01.2022 5:32;2;40;361;391698;45726783;4;67;513
27.01.2022 8:39;3;20;301;606407;28899852;4;63;567
15.01.2022 6:28;1;10;735;665734;72707962;1;50;694
27.01.2022 20:56;2;40;652;898397;35492734;3;53;678
06.01.2022 19:28;6;140;1120;135752;22302498;4;83;737
30.01.2022 13:09;5;70;467;605858;51638152;3;77;759
01.01.2022 18:01;4;0;0;496132;36171759;3;76;693
05.01.2022 18:02;4;10;595;842446;98007566;5;60;546
01.01.2022 12:17;6;0;0;857322;11870598;4;54;580
19.01.2022 2:01;3;90;584;203037;73877648;2;53;646
26.01.2022 7:39;4;80;350;176311;51616560;3;47;697
01.01.2022 10:12;5;0;0;321930;62837441;4;72;508
11.01.2022 11:03;2;100;421;637967;27687297;3;50;489
01.01.2022 3:00;2;10;454;513288;76913282;3;46;410
17.01.2022 16:27;4;130;796;369446;72138394;4;80;732
04.01.2022 3:43;1;10;314;595531;94980133;2;43;571
04.01.2022 3:49;5;110;285;871962;15783160;4;70;542
21.01.2022 22:11;2;30;391;864447;71548507;2;57;686
31.01.2022 22:04;3;120;524;286158;14743029;3;68;559
17.01.2022 19:34;1;50;434;716371;70177497;4;81;593
19.01.2022 23:40;3;100;468;852272;27595231;2;65;541
01.01.2022 13:34;5;0;0;141407;78001726;3;81;628
01.01.2022 6:52;4;0;0;871867;81655678;3;79;602
03.01.2022 16:42;4;20;397;509483;11141973;4;56;390
15.01.2022 6:41;4;60;552;830720;90512824;4;68;649
21.01.2022 10:50;1;90;356;124870;41227716;3;60;514
11.01.2022 8:36;5;90;421;927684;19944051;4;52;488
01.01.2022 23:40;5;0;0;621463;73366203;4;80;675
01.01.2022 13:50;6;0;0;118490;97538897;4;52;413
15.01.2022 17:36;4;20;900;100273;59010215;4;68;724
06.01.2022 19:24;3;20;530;779789;40458121;3;20;530
01.01.2022 17:31;4;0;0;983063;30336316;2;80;912
31.01.2022 4:52;2;80;345;880464;11763570;4;56;510
17.01.2022 12:38;5;70;623;145291;91035537;4;46;485
30.01.2022 2:41;4;100;440;808088;33979387;3;50;419
22.01.2022 21:49;4;120;649;502042;48858571;4;80;595
06.01.2022 11:07;5;110;395;452430;52179873;4;80;627
01.01.2022 21:40;4;0;0;842459;22363918;3;68;537
01.01.2022 22:50;6;0;0;562106;64508166;5;50;493
16.01.2022 3:56;2;30;927;791585;47306141;3;53;770
20.01.2022 18:19;3;110;312;763053;69575658;3;63;685
01.01.2022 3:22;6;0;0;204752;94906974;3;84;648
01.01.2022 12:57;6;0;0;539266;21087697;3;72;505
14.01.2022 3:53;1;60;841;872655;64753210;3;65;600
10.01.2022 1:54;4;120;332;839099;34576992;4;81;450
15.01.2022 2:53;4;60;593;833390;29011469;3;45;622
01.01.2022 6:23;6;0;0;153860;53458960;4;81;805
08.01.2022 6:25;3;40;385;859232;43509758;3;81;637
27.01.2022 11:30;2;80;897;346814;88478247;3;83;650
07.01.2022 14:01;3;60;860;718755;31626295;4;81;808
11.01.2022 21:17;1;50;602;889865;60032994;1;68;633
20.01.2022 11:44;3;40;896;700804;27157720;4;58;597
27.01.2022 17:09;2;40;397;648982;99143604;3;79;542
01.01.2022 13:39;4;170;1217;857564;71136049;4;81;675
26.01.2022 2:11;2;50;957;762113;34932417;3;50;682
04.01.2022 6:30;2;30;664;591939;97972019;3;80;625
13.01.2022 7:23;4;20;544;906255;15169840;4;54;594
01.01.2022 1:00;3;10;820;269677;72423466;3;30;656
15.01.2022 20:04;3;40;361;633000;23590503;4;83;854
07.01.2022 11:10;4;130;1027;776342;27285513;3;80;626
25.01.2022 2:46;4;140;367;950514;68770751;4;79;625
15.01.2022 5:38;3;50;533;947757;76596577;2;57;543
01.01.2022 5:26;6;0;0;290972;22691859;3;56;476
05.01.2022 10:09;2;110;796;275258;80230382;3;52;610
17.01.2022 15:53;2;20;854;248370;54725056;3;54;646
01.01.2022 6:17;4;0;0;659014;93679614;3;50;500
15.01.2022 2:55;4;120;802;243336;93977181;4;68;600
22.01.2022 15:54;1;80;605;912012;32049519;1;50;694
22.01.2022 22:25;4;40;469;492885;17926883;4;70;603
01.01.2022 18:48;2;60;340;258548;84859337;2;50;570
31.01.2022 22:42;2;20;491;758458;30914917;3;68;598
