uid;cutlery_grouped_uid;tips_grouped_uid;order_grouped_uid
120967;3;54;572
325757;3;79;684
986730;1;10;891
868648;4;63;766
863523;3;56;584
728911;4;57;698
779134;3;54;404
751242;4;70;523
594275;1;47;557
596696;3;52;319
841410;3;53;637
716764;4;81;557
782856;4;68;635
667257;3;57;633
822014;2;50;623
908699;2;63;623
951035;3;68;749
410035;4;10;692
255228;3;68;638
246178;3;68;775
379574;3;63;598
279277;3;83;601
804270;4;73;370
781632;3;65;607
643312;3;70;623
434519;3;84;578
307676;4;80;491
559762;3;48;405
844704;4;50;562
945896;4;84;580
463468;5;80;705
148527;4;67;651
482303;4;65;536
191136;4;79;514
583135;3;50;426
782855;4;54;366
911427;4;20;890
206752;3;53;598
270421;3;54;420
863698;2;48;542
141874;3;57;676
953635;5;83;539
207294;2;40;575
374563;3;47;742
377757;3;80;659
821544;4;68;727
638996;3;68;747
387240;3;46;400
421669;2;53;598
741562;3;56;513
469100;3;79;626
824380;3;63;675
686259;3;62;640
304798;4;86;713
806167;3;50;462
403807;4;58;543
599249;3;77;542
246522;4;84;770
800509;3;52;425
416477;3;53;588
311021;4;77;643
591476;4;72;494
748283;2;50;600
394149;3;54;637
543283;3;81;771
921578;4;52;509
894510;4;50;564
520889;4;48;520
412498;3;80;758
498088;3;53;896
374772;4;50;578
322511;4;83;715
837397;4;65;556
464894;2;43;548
395828;3;68;543
434091;4;80;703
665807;3;72;585
952812;3;68;770
742018;4;67;430
325847;3;30;774
868972;4;46;533
295665;2;70;596
983448;4;53;498
994796;4;77;671
656611;3;84;657
787209;3;50;485
624344;4;73;690
593633;4;67;596
370213;2;47;589
368408;4;65;463
723081;4;70;657
678161;4;80;828
404136;3;77;662
246892;3;67;534
318278;4;52;471
920967;3;44;441
806307;4;86;639
889668;4;65;460
229896;3;50;501
494631;2;25;470
323782;4;86;748
749093;3;43;874
959081;3;30;690
743808;4;50;549
293920;4;83;488
754213;3;80;638
980250;3;54;532
868047;4;72;505
224220;3;58;524
244058;4;67;552
624606;3;52;438
845298;4;52;546
882834;3;70;468
280405;3;48;547
716208;3;30;575
671700;4;68;604
948429;3;50;695
607207;3;84;594
391698;4;67;513
606407;4;63;567
665734;1;50;694
898397;3;53;678
135752;4;83;737
605858;3;77;759
496132;3;76;693
842446;5;60;546
857322;4;54;580
203037;2;53;646
176311;3;47;697
321930;4;72;508
637967;3;50;489
513288;3;46;410
369446;4;80;732
595531;2;43;571
871962;4;70;542
864447;2;57;686
286158;3;68;559
716371;4;81;593
852272;2;65;541
141407;3;81;628
871867;3;79;602
509483;4;56;390
830720;4;68;649
124870;3;60;514
927684;4;52;488
621463;4;80;675
118490;4;52;413
100273;4;68;724
779789;3;20;530
983063;2;80;912
880464;4;56;510
145291;4;46;485
808088;3;50;419
502042;4;80;595
452430;4;80;627
842459;3;68;537
562106;5;50;493
791585;3;53;770
763053;3;63;685
204752;3;84;648
539266;3;72;505
872655;3;65;600
839099;4;81;450
833390;3;45;622
153860;4;81;805
859232;3;81;637
346814;3;83;650
718755;4;81;808
889865;1;68;633
700804;4;58;597
648982;3;79;542
857564;4;81;675
762113;3;50;682
591939;3;80;625
906255;4;54;594
269677;3;30;656
633000;4;83;854
776342;3;80;626
950514;4;79;625
947757;2;57;543
290972;3;56;476
275258;3;52;610
248370;3;54;646
659014;3;50;500
243336;4;68;600
912012;1;50;694
492885;4;70;603
258548;2;50;570
758458;3;68;598
106674;2;47;584
931984;4;52;366
894484;2;50;391
903525;3;70;674
432900;3;80;766
504316;3;50;521
667871;3;63;481
652970;3;35;609
194208;2;53;432
908902;4;65;642
800749;3;70;602
950033;4;77;744
396560;3;43;714
739045;2;40;679
992035;4;80;803
650455;4;62;628
291319;2;57;677
264058;4;83;698
898491;2;40;497
112472;4;79;840
258632;3;72;518
559181;3;52;418
742581;2;25;505
705886;3;65;667
339688;3;60;684
611739;3;52;499
565139;4;63;485
586068;4;68;719
262270;4;70;585
837313;3;52;416
145182;4;63;460
281927;4;65;407
950223;3;20;703
303875;2;57;759
409068;4;50;423
584535;4;74;667
966681;5;68;682
511798;4;68;498
907079;3;40;471
276922;2;57;771
947701;2;47;954
327779;3;52;518
295968;4;81;749
410555;4;67;532
239975;3;54;538
312972;4;79;827
224432;2;43;644
623862;4;65;457
585345;4;83;652
715528;4;50;588
305139;2;35;707
942480;4;77;838
503002;4;63;553
271987;4;70;606
455121;3;43;795
411796;3;52;382
275709;3;83;814
854105;3;53;678
834521;4;43;626
801495;3;48;613
528344;3;52;469
190809;2;53;652
603380;4;77;735
444402;3;40;448
789941;2;45;484
997586;4;65;456
399296;3;67;442
526202;2;30;460
811770;2;52;591
347770;4;50;717
736711;3;56;456
484562;3;50;505
208270;2;63;483
726189;4;70;502
990194;4;67;415
340513;4;80;630
238969;3;50;540
307282;4;68;527
249286;3;68;578
334683;4;54;389
621938;3;83;657
742638;4;30;690
614365;4;67;593
346382;4;68;609
366525;4;68;751
543902;3;48;622
664798;3;54;554
514837;3;86;779
154016;4;81;713
980402;3;63;759
138077;2;50;512
466986;4;53;598
379164;3;83;406
222855;2;44;730
916494;3;79;642
777796;4;83;614
513468;4;83;562
563291;2;68;607
472806;4;79;651
329066;4;67;494
806991;4;54;593
723170;3;35;576
460771;4;68;470
860744;3;45;572
634579;4;67;643
995434;4;77;567
295806;4;79;640
346607;3;52;559
616470;3;56;446
672376;2;50;427
514996;3;65;718
449925;3;81;682
776175;4;76;752
261500;3;75;606
279585;4;70;535
165587;4;67;471
281938;4;20;830
919749;4;30;715
253222;4;87;595
125383;3;48;508
429410;2;63;557
404988;2;46;421
305062;4;83;651
465914;4;83;696
575669;2;70;690
386531;3;50;528
471036;2;70;627
285785;4;47;427
445659;5;48;452
493896;3;53;630
342190;3;68;470
445495;3;79;702
670749;3;47;657
917944;1;10;544
241923;4;76;612
932414;3;53;695
453780;3;50;571
810828;3;73;568
402409;4;50;633
491109;3;54;427
688937;4;57;570
171594;3;70;791
182120;3;81;644
438837;3;25;840
977407;4;65;511
687129;4;68;383
909542;3;52;467
139933;3;79;677
202463;4;50;528
246366;4;70;559
708403;4;52;575
855442;5;70;502
431510;4;70;453
228996;4;67;562
226310;3;67;554
132683;4;86;624
727901;3;83;552
461996;4;40;351
959971;3;65;680
197304;4;83;708
202818;3;40;450
791253;3;53;512
121280;3;54;478
976969;4;74;594
219511;3;53;777
776277;4;68;589
505813;4;50;589
795658;3;54;483
593975;2;84;734
776016;3;73;492
674871;2;35;532
171613;4;25;652
909536;4;81;633
657088;3;81;697
112858;1;10;915
643443;3;81;626
154153;2;68;776
912501;4;54;478
701355;4;76;693
954508;3;30;751
884828;4;65;546
144932;4;80;699
579755;3;54;511
339971;4;67;539
124290;4;65;438
225550;4;77;632
561544;3;54;592
633296;4;25;523
988887;3;65;453
578767;3;63;640
362033;3;60;534
599776;3;60;580
796309;4;77;696
709693;3;80;736
705253;4;74;403
573766;3;65;583
984686;3;63;685
510299;1;50;630
150819;3;58;457
469120;4;65;654
721102;2;65;740
760405;2;20;596
350807;4;81;532
221847;4;70;664
991715;3;70;674
682403;3;54;479
186982;4;80;734
468598;2;47;669
852322;4;70;552
652110;3;44;425
731825;4;72;555
992994;2;10;778
562186;3;65;734
492531;2;65;643
437504;3;56;535
425583;3;60;497
690219;3;48;435
659634;3;70;625
447923;3;80;728
430806;3;60;713
393418;3;50;455
689631;4;54;448
545009;3;63;691
877329;3;35;638
788973;2;43;783
822533;2;40;649
585912;3;52;504
785164;3;52;648
272480;4;84;543
470431;3;70;609
443618;3;46;502
299687;2;35;455
673449;2;50;671
540153;4;68;608
122172;3;65;535
360684;4;68;463
196554;1;30;478
408625;4;67;452
500722;3;65;628
998542;4;81;661
961709;2;57;677
593475;3;53;474
799720;4;79;688
256811;3;54;475
136834;3;40;652
415034;3;57;635
282882;4;65;623
922642;4;80;788
673403;3;75;801
883704;4;67;584
145645;2;65;726
550312;4;81;680
770335;4;80;576
933464;4;67;512
307757;4;80;650
301038;4;83;684
511094;2;30;382
331820;3;54;494
120951;3;56;594
860763;3;50;543
323346;3;65;626
549862;3;20;821
780130;3;81;686
581321;2;10;592
496237;3;25;720
933612;4;50;386
169920;3;54;446
578241;3;70;586
172846;3;30;496
822174;3;60;818
356913;5;79;580
156410;4;35;655
524922;2;40;466
821801;4;83;783
943944;4;48;546
599997;3;63;573
443669;4;70;606
986226;4;56;419
748219;3;83;747
546057;2;47;573
737066;1;30;383
294920;3;83;637
583093;3;47;862
855274;3;67;535
247642;4;80;533
932050;4;81;681
454533;3;46;601
693988;4;53;748
557262;3;70;628
391852;3;46;546
177294;3;83;625
133156;3;80;640
672462;4;65;666
803368;3;10;326
168654;2;35;793
883194;4;52;640
614068;3;30;488
658800;4;40;826
596939;3;50;580
427866;4;48;633
751477;3;80;739
434262;3;68;665
225444;1;50;935
188238;4;30;540
661951;4;67;421
818143;4;58;477
566123;5;68;770
888294;4;63;504
440203;2;53;646
298589;3;84;626
662956;4;57;658
509314;3;61;550
963951;4;83;660
544055;3;52;573
353275;3;25;634
645396;3;43;547
533002;1;45;523
613597;3;50;501
595197;4;80;568
842760;4;81;537
469331;3;84;731
333358;4;83;530
478089;3;30;710
487826;4;63;433
286661;3;83;622
678258;3;50;568
934476;3;43;515
852683;4;68;598
499348;4;62;685
591444;3;83;665
617552;3;25;452
148816;3;54;505
218006;3;56;385
267397;4;77;739
297123;2;50;789
469181;3;63;613
750756;3;68;458
252582;3;77;690
314736;2;35;540
862503;4;56;580
841082;3;50;785
212742;3;70;488
875433;3;47;649
607346;1;40;769
541357;3;43;576
397464;4;83;557
313014;5;62;616
436592;4;60;757
574170;3;52;645
198425;3;53;795
644788;4;68;501
198020;3;62;632
815760;2;65;633
174315;3;35;690
624776;3;81;606
613890;4;79;627
973654;3;58;762
335523;3;68;576
249762;2;56;614
550499;3;60;735
781413;4;76;597
920452;3;56;601
984201;4;35;635
931606;2;57;406
459656;3;40;709
839157;3;52;499
318965;3;62;536
776968;3;35;885
261081;2;50;754
193064;4;68;560
994906;1;30;815
163137;3;50;560
857669;4;87;633
319026;3;81;589
588407;4;60;685
485393;4;83;615
480125;3;52;498
533088;4;60;813
973683;4;84;654
737786;4;68;440
367911;2;35;507
568543;2;52;644
738941;3;72;682
799473;4;65;607
690076;3;83;721
507716;3;47;594
537082;3;60;750
404573;4;68;777
521973;3;80;510
587732;4;80;513
203287;4;30;807
445848;3;63;622
722323;3;60;816
783333;1;53;414
461923;3;30;420
369675;2;47;476
327437;2;25;601
113210;3;50;769
383845;3;48;524
455897;3;80;802
374999;2;50;734
661146;3;80;668
551505;3;70;524
181224;2;60;720
481117;3;46;502
966491;3;65;504
387978;4;73;644
638689;2;57;535
381341;2;35;685
628321;3;70;664
358034;3;57;690
427390;2;65;805
338466;2;35;734
449194;4;48;455
728022;4;62;606
273245;4;65;653
421056;3;52;533
388266;4;50;583
280614;3;81;710
655892;4;63;677
556862;2;47;518
734814;3;65;544
434420;2;25;737
176855;4;68;552
892676;4;86;685
388971;4;84;579
573159;3;65;501
699698;4;25;852
782502;3;46;563
903346;1;30;654
471139;4;81;584
528192;4;20;495
359301;3;54;567
138258;1;70;622
764453;4;79;601
355124;4;79;641
629427;4;80;506
871727;3;80;818
342306;4;68;582
200990;3;81;552
674327;2;63;776
615588;3;63;609
911586;4;60;558
655948;4;65;596
283613;4;68;575
516521;4;70;644
625208;3;83;443
324744;3;63;543
951846;3;68;639
631655;4;79;789
202438;4;77;654
877934;3;79;559
797373;4;58;477
696002;3;80;650
479487;3;68;585
554262;2;43;767
494484;4;81;754
476816;4;57;698
956976;4;54;435
395893;4;60;447
964716;3;45;764
345238;4;52;435
738344;2;50;633
350984;2;53;532
255985;3;81;737
690684;3;81;653
744209;3;53;717
334485;2;60;765
181450;4;54;502
111443;3;10;597
331879;4;72;546
127764;3;67;382
642445;4;68;550
486152;3;75;641
613013;2;50;613
851518;3;62;667
507353;4;79;605
112075;4;47;760
462787;2;53;803
127546;4;81;571
120683;3;48;410
117844;3;60;420
855169;3;62;498
691367;3;53;781
222901;3;81;650
426910;3;50;613
936323;3;67;581
956336;3;53;658
423148;3;53;762
180473;4;52;471
204516;3;63;562
508263;4;81;575
967474;3;53;601
734330;1;20;727
901856;4;68;467
478576;3;80;824
563219;4;67;644
481249;4;76;559
932198;4;80;621
693828;3;83;685
836394;3;76;742
127737;4;83;611
379734;4;81;741
653843;3;40;460
147649;2;50;778
632126;3;20;811
170559;2;47;460
144480;2;43;513
747391;3;35;807
730512;3;54;415
417681;2;47;798
